year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1980,183.47,183.4,183.33,183.35,183.39,183.43,183.46,183.49,183.55,183.53,183.46,183.37
1981,183.27,183.22,183.22,183.32,183.4,183.47,183.51,183.49,183.41,183.38,183.35,183.28
1982,183.23,183.16,183.13,183.19,183.35,183.41,183.5,183.57,183.58,183.65,183.67,183.61
1983,183.56,183.49,183.47,183.48,183.51,183.59,183.64,183.63,183.61,183.64,183.61,183.58
1984,183.49,183.44,183.4,183.39,183.49,183.59,183.65,183.66,183.63,183.61,183.58,183.55
1985,183.48,183.42,183.41,183.45,183.58,183.66,183.74,183.81,183.86,183.91,183.89,183.81
1986,183.7,183.63,183.61,183.68,183.74,183.76,183.81,183.84,183.81,183.79,183.75,183.67
1987,183.58,183.5,183.44,183.41,183.42,183.46,183.5,183.55,183.53,183.46,183.4,183.37
1988,183.29,183.22,183.17,183.2,183.24,183.26,183.27,183.39,183.44,183.41,183.46,183.46
1989,183.41,183.33,183.28,183.31,183.39,183.5,183.53,183.52,183.5,183.41,183.38,183.27
1990,183.19,183.13,183.09,183.08,183.18,183.25,183.35,183.36,183.38,183.39,183.38,183.31
1991,183.23,183.16,183.14,183.22,183.32,183.37,183.46,183.46,183.44,183.43,183.46,183.45
1992,183.37,183.3,183.25,183.22,183.32,183.36,183.45,183.47,183.52,183.54,183.5,183.47
1993,183.41,183.32,183.24,183.24,183.38,183.48,183.56,183.62,183.62,183.58,183.52,183.46
1994,183.39,183.32,183.28,183.3,183.4,183.46,183.53,183.56,183.59,183.56,183.5,183.42
1995,183.33,183.24,183.19,183.2,183.26,183.31,183.37,183.4,183.44,183.49,183.48,183.41
1996,183.34,183.32,183.3,183.31,183.46,183.6,183.7,183.78,183.78,183.71,183.67,183.63
1997,183.59,183.54,183.51,183.55,183.64,183.65,183.72,183.68,183.63,183.61,183.56,183.48
1998,183.4,183.34,183.29,183.35,183.34,183.39,183.41,183.38,183.33,183.26,183.21,183.19
1999,183.12,183.1,183.06,183.11,183.2,183.31,183.43,183.47,183.44,183.38,183.32,183.24
2000,183.16,183.08,183.08,183.12,183.16,183.24,183.33,183.31,183.27,183.2,183.15,183.06
2001,182.98,182.94,182.91,183.01,183.24,183.33,183.36,183.39,183.37,183.3,183.29,183.3
2002,183.22,183.14,183.11,183.14,183.26,183.31,183.36,183.4,183.42,183.44,183.36,183.26
2003,183.16,183.07,183.03,183.08,183.18,183.23,183.26,183.29,183.27,183.26,183.23,183.19
2004,183.14,183.07,183.07,183.13,183.23,183.35,183.4,183.42,183.46,183.47,183.46,183.38
2005,183.32,183.27,183.22,183.26,183.31,183.39,183.42,183.38,183.35,183.38,183.35,183.3
2006,183.24,183.18,183.12,183.16,183.24,183.3,183.31,183.3,183.2,183.13,183.04,182.98
2007,182.92,182.83,182.79,182.85,182.87,182.94,183,183.01,183.02,183.18,183.18,183.11
2008,183.08,183.03,182.97,183.01,183.18,183.29,183.41,183.42,183.37,183.32,183.27,183.19
2009,183.14,183.1,183.09,183.12,183.24,183.3,183.34,183.39,183.42,183.36,183.35,183.3
2010,183.21,183.14,183.09,183.08,183.08,183.13,183.19,183.2,183.22,183.19,183.14,183.07
2011,183,182.93,182.87,182.91,183.04,183.15,183.25,183.28,183.23,183.21,183.16,183.09
2012,183.01,182.94,182.93,183,183.06,183.2,183.3,183.27,183.2,183.12,183.1,183.05
2013,182.98,182.94,182.9,182.92,183.11,183.26,183.37,183.44,183.48,183.45,183.4,183.35
2014,183.29,183.24,183.23,183.27,183.47,183.6,183.66,183.67,183.7,183.71,183.67,183.6
2015,183.54,183.47,183.42,183.44,183.53,183.63,183.68,183.68,183.69,183.6,183.58,183.59
2016,183.55,183.49,183.46,183.48,183.51,183.61,183.69,183.7,183.7,183.68,183.59,183.54
2017,183.47,183.43,183.39,183.41,183.56,183.67,183.75,183.78,183.8,183.81,183.78,183.72
2018,183.65,183.58,183.54,183.47,183.5,183.56,183.65,183.65,183.7,183.77,183.76,183.67
2019,183.62,183.58,183.57,183.61,183.77,183.84,183.86,183.86,,,,
